text,label,scam_type
Vikram: dinner at 8 tonight? same place as last time,0,safe
Your parcel is on hold at customs. Pay a clearance fee of $150 at bit.ly/verify-now to release it by today 6 PM.,1,delivery_scam
"Congratulations! Your number has won Rs 49,999 in the international lottery. Send your bank details to http://acc0unt-verify.in to claim your prize by tomorrow.",1,lottery_scam
Your Microsoft 365 password expires in the next 2 hours. Click paytm-cashback-offer.xyz to keep the same password and avoid data loss.,1,phishing
"Notice: A pending cashback of $2,450 is linked to your wallet. Complete the claim process by linking your UPI PIN here: irs-refund-claim.info before before the offer closes.",1,upi_payment_scam
"hey is this your number? sent Rs 49,999 to you by accident on gpay, pls send back using this link irs-refund-claim.info",1,upi_payment_scam
"Reminder: performance review meeting with your manager is scheduled for in the next 2 hours in Mumbai office, room 4B.",0,safe
Reminder: Your electricity bill of $500 is due on 25th. Pay via the official app or website to avoid late fees.,0,safe
"Chase Bank: Your account was credited with Rs 49,999 on 12-Aug-2026. Available balance: Rs 49,999. Thank you for banking with us.",0,safe
"David, I made $75 in a month with this stock tip group, thought you might be interested too, here's the link if you want to check it out myaccount-securehelp.top",1,investment_scam
"Anjali, I think I sent you Rs 9,999 by mistake on UPI, could you refund it by scanning this code and entering your PIN? irs-refund-claim.info",1,upi_payment_scam
"Team, quick reminder to submit your expense reports by end of week, HR needs them for the Chicago office audit.",0,safe
"Your SBI card ending 4521 was used for a purchase of Rs 49,999 at a local store today.",0,safe
"Congratulations Priya! You are shortlisted for Data Entry Executive with Rs 1,00,000/day. Register now by paying a refundable deposit at paytm-cashback-offer.xyz",1,job_scam
"Karan, I feel such a deep connection with you even though we've never met. I'm stuck at customs and need $500 to come see you, please help.",1,romance_scam
"Rahul: Can you send me the report before end of day? It's urgent, the client meeting got moved up. Thanks!",0,safe
"Meera, following up on our call, the delivery for the Pune office supplies should reach by Friday as planned.",0,safe
hey are you around this weekend? thinking of heading to Bangalore for a short trip,0,safe
"hey love, missing you so much today. quick thing, customs is holding a package with gifts for you and I just need $150 to release it, can you help?",1,romance_scam
"Limited time offer: Get Rs 3,200 cashback on your next purchase, just verify your card details at secure-update-bank.com",1,other
Your mailbox has reached its storage limit and new messages may not be delivered. Free up space or upgrade your plan here: instagram-verify-account.live,1,phishing
Flipkart delivery update: Your package is out for delivery and will arrive today between 2-6 PM.,0,safe
You've been selected as the lucky winner of the Flipkart anniversary lottery worth $75. Claim now at myaccount-securehelp.top,1,lottery_scam
Account team: please review the recent access request on your file and confirm ownership at secure-update-bank.com when you get a chance.,1,phishing
"Reminder: Your electricity bill of Rs 9,999 is due on 25th. Pay via the official app or website to avoid late fees.",0,safe
India Post delivery update: Your package is out for delivery and will arrive today between 2-6 PM.,0,safe
